Time,Amplitude
0.000583,1.370648
0.000584,0.986974
0.000584,0.312722
0.000584,-0.453599
0.000585,-1.086375
0.000585,-1.399309
0.000585,-1.300268
0.000586,-0.818413
0.000586,-0.095607
0.000587,0.655347
0.000587,1.213359
0.000587,1.414143
0.000588,1.198586
0.000588,0.630150
0.000588,-0.123809
0.000589,-0.841318
0.000589,-1.311132
0.000590,-1.394933
0.000590,-1.068048
0.000590,-0.426717
0.000591,0.340245
0.000591,1.007035
0.000591,1.377341
0.000592,1.342141
0.000592,0.911798
0.000593,0.213010
0.000593,-0.548490
0.000593,-1.148508
0.000594,-1.410391
0.000594,-1.257038
0.000594,-0.733597
0.000595,0.005824
0.000595,0.743530
0.000596,1.262332
0.000596,1.409488
0.000596,1.141673
0.000597,0.537735
0.000597,-0.224518
0.000597,-0.920671
0.000598,-1.345766
0.000598,-1.374652
0.000599,-0.998823
0.000599,-0.328928
0.000599,0.437807
0.000600,1.075647
0.000600,1.396802
0.000600,1.306722
0.000601,0.831927
0.000601,0.112202
0.000601,-0.640556
0.000602,-1.204727
0.000602,-1.414211
0.000603,-1.207334
0.000603,-0.645003
0.000603,0.107225
0.000604,0.827885
0.000604,1.304805
0.000604,1.397574
0.000605,1.078881
0.000605,0.442551
0.000606,-0.324071
0.000606,-0.995282
0.000606,-1.373471
0.000607,-1.347292
0.000607,-0.924454
0.000607,-0.229445
0.000608,0.533115
0.000608,0.838641
0.000609,0.120494
0.000609,-0.633128
0.000609,-1.200349
0.000610,-1.414172
0.000610,-1.211646
0.000610,-0.652396
0.000611,0.098927
0.000611,0.821125
0.000612,1.301574
0.000612,1.398823
0.000612,1.084241
0.000613,0.450446
0.000613,-0.315967
0.000613,-0.989354
0.000614,-1.371464
0.000614,-1.349798
0.000615,-0.930734
0.000615,-0.237651
0.000615,0.525399
0.000616,1.133766
0.000616,1.408338
0.000616,1.268278
0.000617,0.754821
0.000617,0.019135
0.000618,-0.722184
0.000618,-1.250883
0.000618,-1.411307
0.000619,-1.156225
0.000619,-0.560736
0.000619,0.199841
0.000620,0.901582
0.000620,1.337886
0.000621,1.380300
0.000621,1.016336
0.000621,0.353151
0.000622,-0.414006
0.000622,-1.059275
0.000622,-1.392680
0.000623,-1.316063
0.000623,-0.851981
0.000624,-0.137065
0.000624,0.618205
0.000624,1.191467
0.000625,1.413947
0.000625,1.220143
0.000625,0.667114
0.000626,-0.082321
0.000626,-0.807521
0.000627,-1.294976
0.000627,-1.401174
0.000627,-1.094849
0.000628,-0.466188
0.000628,0.299726
0.000628,0.977396
0.000629,1.367309
0.000629,1.354669
0.000630,0.943198
0.000630,0.254038
0.000630,-0.509914
0.000631,-1.123741
0.000631,-1.406725
0.000631,-1.275552
0.000632,-0.768840
0.000632,-0.035772
0.000633,0.707827
0.000633,1.243034
0.000633,1.412275
0.000634,1.165726
0.000634,0.575972
0.000634,-0.183355
0.000635,-0.888700
